%	|	x	y	w	|	
	-3	-1.33188	0.583411
	-2.93939	-1.44475	0.740261
	-2.87879	-2.0614	0.72244
	-2.81818	-2.04473	0.539258
	-2.75757	-2.33096	0.517671
	-2.69697	-3.28134	0.422375
	-2.63636	-2.92973	0.665861
	-2.57576	-2.8306	0.424989
	-2.51515	-3.5364	0.603143
	-2.45454	-3.15735	0.565419
	-2.39394	-3.9599	0.342613
	-2.33333	-3.2316	0.753302
	-2.27273	-3.2329	0.981462
	-2.21212	-2.82896	0.544729
	-2.15152	-3.1801	0.509364
	-2.09091	-2.68595	0.937515
	-2.0303	-2.27423	0.689856
	-1.9697	-2.14678	0.934572
	-1.90909	-1.82488	0.988839
	-1.84849	-1.54089	0.885023
	-1.78788	-0.924533	0.547244
	-1.72727	-1.0373	0.602842
	-1.66667	-0.295048	0.584643
	-1.60606	-0.402305	0.578425
	-1.54545	0.189731	0.831555
	-1.48485	0.00996462	0.41954
	-1.42424	0.85003	0.66728
	-1.36364	1.06395	0.727401
	-1.30303	1.37986	0.594505
	-1.24242	1.29462	0.801124
	-1.18182	1.49185	0.883905
	-1.12121	1.87576	0.58224
	-1.06061	1.51298	0.552197
	-0.999998	1.70303	0.721912
	-0.939395	2.08861	0.555062
	-0.878789	2.3275	0.383931
	-0.818182	1.92061	0.73831
	-0.757575	1.34745	0.424087
	-0.696969	1.64255	0.914766
	-0.636366	1.86401	0.500173
	-0.575758	1.73478	0.503767
	-0.51515	1.20861	0.768126
	-0.454546	1.42929	0.5157
	-0.393939	0.786631	0.598236
	-0.333333	1.41455	0.337057
	-0.272726	0.70183	0.878393
	-0.212123	1.15937	0.312363
	-0.151515	0.0928899	0.544724
	-0.0909112	0.0193658	0.627753
	-0.0303045	-0.389946	0.398749
	0.0303023	-0.632664	0.343276
	0.090909	-0.120676	0.872844
	0.151516	-0.281648	0.913387
	0.212121	-0.0832029	0.554414
	0.272728	0.20485	0.340072
	0.333334	-0.596327	0.619732
	0.393938	-0.716973	0.510758
	0.454544	-0.255313	0.63155
	0.515151	-0.638014	0.574407
	0.575758	-0.607497	0.576921
	0.636364	-0.780907	0.409107
	0.696969	-0.731967	0.408907
	0.757576	-0.458259	0.581159
	0.818182	-0.701146	0.365979
	0.878788	-0.160466	0.878832
	0.939393	-0.0837257	0.920329
	1	0.435555	0.407855
	1.06061	0.181382	0.698118
	1.12121	-0.335316	0.410845
	1.18182	-0.191953	0.484217
	1.24242	0.350479	0.597052
	1.30303	0.366264	0.586364
	1.36364	0.0719632	0.801229
	1.42424	0.275117	0.662923
	1.48485	0.163703	0.787879
	1.54545	0.384774	0.456524
	1.60606	0.37073	0.420498
	1.66667	-0.750853	0.324743
	1.72727	-0.427677	0.595505
	1.78788	-0.596005	0.531366
	1.84849	-0.246206	0.598597
	1.90909	-0.575199	0.980451
	1.9697	-0.891291	0.603425
	2.0303	-0.69092	0.700644
	2.09091	-0.720395	0.576329
	2.15152	-0.636858	0.416947
	2.21212	-1.04841	0.72509
	2.27273	-1.08719	0.641234
	2.33333	-1.27229	0.834145
	2.39394	-1.54757	0.65559
	2.45454	-1.33825	0.772701
	2.51515	-1.35046	0.771679
	2.57576	-1.66204	0.559931
	2.63636	-1.23261	0.66151
	2.69697	-1.76092	0.403739
	2.75758	-0.996534	0.571979
	2.81818	-0.931969	0.646878
	2.87879	-1.13275	0.612133
	2.93939	-0.74215	0.934775
	3	-0.509355	0.858415
